index,1959-01-01,1959-02-01,1959-03-01,1959-04-01,1959-05-01,1959-06-01,1959-07-01,1959-08-01,1959-09-01,1959-10-01,1959-11-01,1959-12-01,1960-01-01,1960-02-01,1960-03-01,1960-04-01,1960-05-01,1960-06-01,1960-07-01,1960-08-01,1960-09-01,1960-10-01,1960-11-01,1960-12-01,1961-01-01,1961-02-01,1961-03-01,1961-04-01,1961-05-01,1961-06-01,1961-07-01,1961-08-01,1961-09-01,1961-10-01,1961-11-01,1961-12-01,1962-01-01,1962-02-01,1962-03-01,1962-04-01,1962-05-01,1962-06-01,1962-07-01,1962-08-01,1962-09-01,1962-10-01,1962-11-01,1962-12-01,1963-01-01
1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0
14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0
3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0
493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0
11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0
2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0
330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0
5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0
1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0
14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0
3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0
493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0
11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0
2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0
330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0
5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0
1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0
14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0
3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0
493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0
11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0
2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0
330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0
5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0
1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0
14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0
3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0
493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0
11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0
2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0
330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0
5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0
1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0
14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0
3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0
493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0,2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0
11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0,330.0,354.0,359.0,362.0,375.0,386.0,421.0,441.0,452.0,475.0,493.0,544.0,567.0,634.0,636.0,682.0,713.0,758.0,928.0,995.0,1047.0,1158.0,1189.0,1215.0,1327.0,1336.0,1412.0,1447.0,1870.0,2174.0
2177.0,2276.0,3263.0,3368.0,3375.0,3488.0,3543.0,3770.0,3841.0,3913.0,3966.0,3976.0,4117.0,4440.0,4646.0,4775.0,5208.0,5275.0,5434.0,5587.0,5890.0,5925.0,6133.0,6541.0,7007.0,7757.0,9096.0,9566.0,10156.0,10471.0,11056.0,11498.0,12452.0,12478.0,12537.0,12867.0,12893.0,13905.0,14014.0,14290.0,14496.0,14711.0,14726.0,15915.0,16694.0,16849.0,17744.0,18094.0,19151.0,19905.0
